State Code,County Code,Site Num,Latitude,Longitude,Parameter Name,Sample Duration,Pollutant_Standard,Date Local,Units_ of_ Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,State_ Name,County _Name,City Name,CBSA Name,Date of Last Change
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/1/2019,Parts per million,24,100,0.224417,0.298,19,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/2/2019,Parts per million,24,100,0.327833,0.597,20,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/3/2019,Parts per million,24,100,0.319625,0.719,0,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/4/2019,Parts per million,24,100,0.205083,0.272,0,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/5/2019,Parts per million,23,96,0.212304,0.291,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/6/2019,Parts per million,24,100,0.188792,0.314,23,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/7/2019,Parts per million,24,100,0.263542,0.469,2,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/8/2019,Parts per million,19,79,0.309421,0.665,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/9/2019,Parts per million,24,100,0.2045,0.286,8,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/10/2019,Parts per million,23,96,0.296957,0.697,22,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/11/2019,Parts per million,15,63,0.169733,0.201,18,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/12/2019,Parts per million,23,96,0.245478,0.671,23,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/13/2019,Parts per million,24,100,0.387625,1.108,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
